Station,Code,Lat,Lon,Straat,Huisnummer,Postcode,Plaats,Land
Beilen,BL,52.85472107,6.521111012,Stationslaan,11,9411 PS,Beilen,Netherlands
Almere Parkwijk,ALMP,52.37666702,5.244722366,??,??,1326 CN,Almere,Netherlands
Bergen op Zoom,BGN,51.49388885,4.296111107,Parallelweg,59,4621 JR,Bergen op Zoom,Netherlands
Best,BET,51.50999832,5.389166832,Stationsstraat,1,5683 BA,Best,Netherlands
Beverwijk,BV,52.47833252,4.656666756,Wijckermolen,1,1941 JA,Beverwijk,Netherlands
Bilthoven,BHV,52.13000107,5.203888893,Spoorlaan,3A,3721 PA,Bilthoven,Netherlands
Barneveld Zuid,BNZ,52.128853,5.60246,??,??,3772 PA,Barneveld,Netherlands
Blerick,BR,51.37250137,6.15500021,??,??,5922 AB,Venlo,Netherlands
Bloemendaal,BLL,52.40416718,4.627500057,??,??,2061 GN,Haarlem,Netherlands
Bodegraven,BDG,52.08139038,4.746110916,Stationsplein,1,2411 EH,Bodegraven,Netherlands
Borne,BN,52.29888916,6.748055458,Unnamed Road,??,7621 SV,Borne,Netherlands
Boskoop,BSK,52.07777786,4.646944523,Parklaan,8,2771 GB,Boskoop,Netherlands
Boskoop Snijdelwijk,BSKS,52.067658,4.646186,??,??,2771 JN,Boskoop,Netherlands
Bovenkarspel-Grootebroek,BKG,52.69499969,5.23777771,Middenweg,18A,1611 KP,Bovenkarspel,Netherlands
Boxmeer,BMR,51.64452177,5.939033031,??,??,5831 CW,Boxmeer,Netherlands
Boxtel,BTL,51.58433,5.31912,Parallelweg Zuid,1C,5281 LA,Boxtel,Netherlands
Breda,BD,51.59555435,4.78000021,??,??,4811 BL,Breda,Netherlands
Breda-Prinsenbeek,BDPB,51.60638809,4.720833302,??,??,4822,Breda,Netherlands
Breukelen,BKL,52.17149,4.9906,Amerlandseweg,9c,3621 CZ,Breukelen,Netherlands
Lansingerland-Zoetermeer,LLZM,52.042222,4.517222,??,??,2712,Zoetermeer,Netherlands
Brummen,BMN,52.09111023,6.146944523,??,??,6971 GB,Brummen,Netherlands
Buitenpost,BP,53.2564547,6.1446496,Stationsplein,2,9285 VW,Buitenpost,Netherlands
Bunde,BDE,50.89694595,5.736666679,Spoorstraat,8,6241 CL,Bunde,Netherlands
Bunnik,BNK,52.06305695,5.194444656,Groeneweg,150B,3981 CP,Bunnik,Netherlands
Bussum Zuid,BSMZ,52.26583481,5.16305542,Struikheiweg,5,1406 TK,Bussum,Netherlands
Capelle Schollevaar,CPS,51.95416641,4.584166527,Stationsplein,1B,2907 MJ,Capelle aan den IJssel,Netherlands
Castricum,CAS,52.54583359,4.658611298,??,??,1901 ET,Castricum,Netherlands
Chevremont,CVM,50.87611008,6.059722424,??,??,6468 AH,Kerkrade,Netherlands
Coevorden,CO,52.66361237,6.735555649,Stationsstraat,20,7741 EK,Coevorden,Netherlands
Culemborg,CL,51.94666672,5.226944447,Stationsplein,11a,4101 NX,Culemborg,Netherlands
Cuijk,CK,51.72668259,5.874295235,Stationsplein,3,5431 CE,Cuijk,Netherlands
Dalen,DLN,52.69416809,6.758055687,Reindersdijk,7,7751 SH,Dalen,Netherlands
Diemen Zuid,DMNZ,52.33027649,4.955833435,??,??,1112 XC,Diemen,Netherlands
Daarlerveen,DA,52.4407702,6.5759947,??,??,7687 BX,Daarlerveen,Netherlands
Diemen,DMN,52.34515,4.967566,??,??,1111,Diemen,Netherlands
Delft Campus (vanaf 15 dec),DTCP,51.99083328,4.364722252,??,??,2623 AX,Delft,Netherlands
Delft Zuid (t/m 14 dec),DTZ,51.99083328,4.364722252,??,??,2623 AX,Delft,Netherlands
Dalfsen,DL,52.49833298,6.258611202,Stationsweg,4,7722 HA,Dalfsen,Netherlands
Deinum,DEI,53.1888115,5.7281572,??,??,9033 WJ,Deinum,Netherlands
Delden,DDN,52.25999832,6.716111183,De Reigerstraat,78,7491 XV,Delden,Netherlands
Delft,DT,52.00666809,4.356389046,Stationsplein,14,2611 BV,Delft,Netherlands
Delfzijl,DZ,53.3336625,6.9240797,Johan van Den Kornputplein,1A,9934 EA,Delfzijl,Netherlands
Deurne,DN,51.45583344,5.788888931,Fabriekstraat,9,5751 JN,Deurne,Netherlands
Deventer,DV,52.25749969,6.160555363,Stationsplein,6,7411 HB,Deventer,Netherlands
Didam,DID,51.933502,6.1324106,??,??,6942 GB,Didam,Netherlands
Delfzijl West,DZW,53.3320834,6.9069092,??,??,9936 BJ,Delfzijl,Netherlands
Dieren,DR,52.04499817,6.103055477,??,??,6953 AA,Dieren,Netherlands
Doetinchem,DTC,51.9585962,6.2962148,??,??,7001 GN,Doetinchem,Netherlands
Den Dolder,DLD,52.14027786,5.242777824,Fornheselaan,50,3734 GD,Den Dolder,Netherlands
Dordrecht,DDR,51.80722046,4.66833353,Stationsplein,1,3311 JV,Dordrecht,Netherlands
Dordrecht Zuid,DDZD,51.79000092,4.671389103,??,??,3318,Dordrecht,Netherlands
Driebergen-Zeist,DB,52.0652771,5.258611202,Stationsweg,6,3972 KA,Driebergen-Rijsenburg,Netherlands
Driehuis,DRH,52.44250107,4.638055325,??,??,1985 BD,Santpoort-Noord,Netherlands
Doetinchem De Huet,DTCH,51.9591413,6.2598521,??,??,7006 PT,Doetinchem,Netherlands
Deventer Colmschate,DVC,52.25027847,6.214444637,??,??,7423 EM,Deventer,Netherlands
Dordrecht Stadspolders,DDRS,51.80194473,4.716666698,??,??,3315 XB,Dordrecht,Netherlands
De Vink,DVNK,52.14722061,4.45638895,Alexandrine Tinneplein,112,2331 PP,Leiden,Netherlands
Dronryp,DRP,53.1778086,5.6347411,??,??,9035 VK,Dronryp,Netherlands
Duiven,DVN,51.94333267,6.014722347,??,??,6922 HR,Duiven,Netherlands
Duivendrecht,DVD,52.32333374,4.936388969,Stationsplein,1,1115 BZ,Duivendrecht,Netherlands
Echt,EC,51.10055542,5.878889084,??,??,6101 HK,Echt,Netherlands
Eindhoven Strijp-S,EHS,51.45111084,5.455833435,??,??,5651 GW,Eindhoven,Netherlands
Dronten,DRON,52.5344,5.72089,??,??,8251 JT,Dronten,Netherlands
Ede-Wageningen,ED,52.02777863,5.673055649,Stationsplein,8,6711 PN,Ede,Netherlands
Ede Centrum,EDC,52.04360962,5.66833353,??,??,6711 AG,Ede,Netherlands
Eemshaven,EEM,53.458419,6.832,??,??,9909 TA,Eemshaven,Netherlands
Eindhoven,EHV,51.44333267,5.481389046,Kennedyplein,515,5612 AZ,Eindhoven,Netherlands
Elst,EST,51.9169426,5.855000019,??,??,6662 BN,Elst,Netherlands
Emmen,EMN,52.79000092,6.89944458,Stationsplein,6,7811 GC,Emmen,Netherlands
Enkhuizen,EKZ,52.69916534,5.286388874,Stationsplein,3,1601 EN,Enkhuizen,Netherlands
Enschede,ES,52.22249985,6.889999866,Stationsplein,33E,7511 JD,Enschede,Netherlands
Ermelo,EML,52.30166626,5.614722252,??,??,3851 JA,Ermelo,Netherlands
Enschede De Eschmarke,ESE,52.22138977,6.951111317,??,??,7534 AV,Enschede,Netherlands
Etten-Leur,ETN,51.57500076,4.635833263,Stationsplein,2,4872 XL,Etten-Leur,Netherlands
Eijsden,EDN,50.77194595,5.710000038,??,??,6245 AG,Eijsden,Netherlands
Enschede Kennispark,ESK,52.23749924,6.838889122,Forum,10B,7521 PM,Enschede,Netherlands
Almere Oostvaarders,ALMO,52.40333176,5.300555706,Insulindeplein,3,1335 JT,Almere,Netherlands
Arnhem Zuid,AHZ,51.95500183,5.851944447,??,??,6846 DX,Arnhem,Netherlands
Amersfoort Vathorst,AVAT,52.19277954,5.433888912,Paulinapolder,100,3829,Hooglanderveen,Netherlands
Apeldoorn Osseveld,APDO,52.21527863,6.004444599,Linie,546,7325 DZ,Apeldoorn,Netherlands
Bovenkarspel Flora,BKF,52.69610977,5.252777576,Broekerhavenweg,75,1611 CA,Bovenkarspel,Netherlands
Amsterdam Holendrecht,ASHD,52.29844,4.95972,??,??,1105 AX,Amsterdam,Netherlands
Franeker,FN,53.1824488,5.5483094,??,??,8801 JR,Franeker,Netherlands
Apeldoorn De Maten,APDM,52.20527649,6.000555515,??,??,7325 AV,Apeldoorn,Netherlands
Eygelshoven Markt,EGHM,50.89604982,6.060247421,Hermanstraat,21,6471 XZ,Eygelshoven,Netherlands
Amsterdam Science Park,ASSP,52.35526,4.94651,Carolina MacGillavrylaan,1882,1098 XA,Amsterdam,Netherlands
Boven-Hardinxveld,BHDV,51.832222,4.878056,??,??,3371 GH,Hardinxveld-Giessendam,Netherlands
Groningen Europapark,GERP,53.20480027,6.5854178,??,??,9723 ZR,Groningen,Netherlands
Gaanderen,GDR,51.93074,6.3486,??,??,7011 MJ,Gaanderen,Netherlands
Helmond Brandevoort,HMBV,51.46222305,5.60722208,Broederwal,159,5708 ZX,Helmond,Netherlands
Geldermalsen,GDM,51.88301,5.27127,Stationsplein,5,4191 LD,Geldermalsen,Netherlands
